age,gender,nationality
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,F,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,F,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,F,ITALY
5,F,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,F,ITALY
5,M,ITALY
5,M,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,ITALY
5,M,ITALY
5,F,LIBERIA
5,F,MEXICO
5,F,MEXICO
5,F,MOROCCO
5,F,MOROCCO
5,M,MOROCCO
5,M,MOROCCO
5,F,NIGERIA
5,M,NIGERIA
5,F,NIGERIA
5,M,NIGERIA
5,M,NIGERIA
5,F,NIGERIA
5,M,NIGERIA
5,F,NIGERIA
5,M,NIGERIA
5,M,NIGERIA
5,F,NIGERIA
5,F,NIGERIA
5,M,NIGERIA
5,M,NORTH MACEDONIA
5,M,NORTH MACEDONIA
5,F,PAKISTAN
5,M,PAKISTAN
5,M,PAKISTAN
5,F,POPULAR REPUBLIC OF CHINA
5,F,REPUBLIC OF THE CONGO
5,F,REPUBLIC OF THE CONGO
5,F,REPUBLIC OF THE CONGO
5,F,ROMANIA
5,F,ROMANIA
5,F,ROMANIA
5,F,ROMANIA
5,F,ROMANIA
5,M,SAN MARINO
5,M,SENEGAL
5,F,TANZANIA
5,F,TOGO
5,F,TURKEY
5,F,TURKEY
